system:index,cap_year,capacitymw,comm_year,country,country_lg,fuel1,fuel2,fuel3,fuel4,gppd_idnr,gwh_2013,gwh_2014,gwh_2015,gwh_2016,gwh_estimt,latitude,longitude,name,owner,source,src_latlon,url,.geo
00000000000000005f66,0.0,37.6,0.0,IND,India,Wind,,,,WRI1026064,0.0,0.0,0.0,0.0,383.0464883539202,8.1784,77.6873,Nagercoli Wind Farm,,CDM,WRI,https://cdm.unfccc.int/filestorage/5/D/0/5D0I7GCWXZ1VFNS6ROQKHTMYL8JA39/Nagercoil%20PDD%20Corrected_c.pdf?t=bkl8b2pkZGlofDAiW_GZYG7HXm3tF_Ie-IsH,"{""type"":""Point"",""coordinates"":[77.68731768561126,8.178408475766378]}"
00000000000000005f6e,0.0,150.0,0.0,IND,India,Wind,,,,WRI1026065,0.0,0.0,0.0,0.0,1528.1109907736181,9.0737,77.4753,NuPower Tirunelveli Wind Farm,NuPower,CDM,WRI,https://cdm.unfccc.int/filestorage/3/x/NUSA0ZGPJRT6YXIMEVOB74WDHQ5KF8.pdf/Final%20PDD.pdf?t=QzV8b2picHExfDDzqlVY2T6pSjzHeaKJVjyC,"{""type"":""Point"",""coordinates"":[77.47528902913665,9.073695438234406]}"
00000000000000005f6f,0.0,16.5,0.0,IND,India,Wind,,,,WRI1026791,0.0,0.0,0.0,0.0,168.09220898509795,9.0198,77.4501,Powerica Tirunelveli Wind Farm,Powerica Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1264590823.08/view,"{""type"":""Point"",""coordinates"":[77.45010950409807,9.019790608338978]}"
00000000000000005f71,0.0,9.7,0.0,IND,India,Wind,,,,WRI1026344,0.0,0.0,0.0,0.0,98.81784407002728,9.087,77.6055,LTML Wind Energy Project in Tamil Nadu,Loyal Textile Mills Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RINA1359562234.41/view,"{""type"":""Point"",""coordinates"":[77.60549545005807,9.0869808917307]}"
00000000000000005f72,0.0,10.5,0.0,IND,India,Wind,,,,WRI1026772,0.0,0.0,0.0,0.0,106.96776935415326,9.0782,77.591,SWPPL Vadakkupanavadali,SWPPL,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1351312018.91/view,"{""type"":""Point"",""coordinates"":[77.59099814776314,9.078183767118288]}"
00000000000000005f73,0.0,4.25,0.0,IND,India,Wind,,,,WRI1026653,0.0,0.0,0.0,0.0,43.296478071919175,9.1269,77.6458,Frost International Palankottai Wind Farm,Frost International Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1354554757.67/view,"{""type"":""Point"",""coordinates"":[77.64580064343534,9.126882135508415]}"
00000000000000005f75,0.0,3.6,0.0,IND,India,Wind,,,,WRI1026760,0.0,0.0,0.0,0.0,36.67466377856683,9.8881,77.2216,Weizzmann Forex Idukki Wind Farm,Weizzmann Forex Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1323254431.52/view,"{""type"":""Point"",""coordinates"":[77.22160868061961,9.888102714214876]}"
00000000000000005f77,0.0,16.5,0.0,IND,India,Wind,,,,WRI1026761,0.0,0.0,0.0,0.0,168.09220898509795,9.9344,77.4768,iEnergy Theni Wind Farm,iEnergy Wind Farms,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1345031355.85/view,"{""type"":""Point"",""coordinates"":[77.47681506095716,9.934422268296544]}"
00000000000000005f78,0.0,9.35,0.0,IND,India,Wind,,,,WRI1026758,0.0,0.0,0.0,0.0,95.25225175822219,9.9438,77.5077,TVS Kunnur Wind Farm,TVS Energy limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1331114727.08/view,"{""type"":""Point"",""coordinates"":[77.50769476367827,9.943802875663856]}"
00000000000000005f79,0.0,9.9,0.0,IND,India,Wind,,,,WRI1026792,0.0,0.0,0.0,0.0,100.85532539105878,9.9855,77.5777,Powerica Theni Wind Farm,Powerica Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1300097036.88/view,"{""type"":""Point"",""coordinates"":[77.57771269426685,9.985499450995125]}"
00000000000000005f95,0.0,19.8,0.0,IND,India,Wind,,,,WRI1026347,0.0,0.0,0.0,0.0,201.71065078211757,10.7245,77.1893,Anikkadavu Wind Farm,Madras Cement Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1379744232.36/viewhttps://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1278588174.29/view,"{""type"":""Point"",""coordinates"":[77.18929271265566,10.72450280172637]}"
00000000000000005fa5,0.0,21.0,0.0,IND,India,Wind,,,,WRI1026773,0.0,0.0,0.0,0.0,213.93553870830652,10.8166,77.3199,SWPPL Manurpalayam,SWPPL,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1351312018.91/view,"{""type"":""Point"",""coordinates"":[77.31990308317664,10.816603310423634]}"
