"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,JAN-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,FEB-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,MAR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,APR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"SUM Monitored
Capacity
(MW)",SUM Target,,
METTUR TUNNEL HPS,,,200.00,290.00,22.00,0.00,METTUR TUNNEL HPS,,,200.00,290.00,1.00,0.00,METTUR TUNNEL HPS,,,200.00,290.00,1.00,0.00,METTUR TUNNEL HPS,,,200.00,300.00,5.00,0.00,METTUR TUNNEL HPS,,,200.00,300.00,0.00,0.00,METTUR TUNNEL HPS,,,200.00,300.00,0.00,36.73,METTUR TUNNEL HPS,,,200.00,300.00,0.00,56.38,METTUR TUNNEL HPS,,,200.00,300.00,38.00,56.88,METTUR TUNNEL HPS,,,200.00,300.00,106.00,44.86,METTUR TUNNEL HPS,,,200.00,300.00,73.00,5.31,METTUR TUNNEL HPS,,,200.00,300.00,5.00,82.76,METTUR TUNNEL HPS,,,200.00,300.00,49.00,71.93,2400.00,3570.00,271.00,625.85
MOYAR  HPS,,,36.00,110.00,6.00,11.44,MOYAR  HPS,,,36.00,110.00,7.00,8.92,MOYAR  HPS,,,36.00,110.00,5.00,7.53,MOYAR  HPS,,,36.00,110.00,7.00,5.47,MOYAR  HPS,,,36.00,110.00,10.00,0.51,MOYAR  HPS,,,36.00,110.00,11.00,6.12,MOYAR  HPS,,,36.00,110.00,11.00,9.27,MOYAR  HPS,,,36.00,110.00,11.00,11.92,MOYAR  HPS,,,36.00,110.00,11.00,11.33,MOYAR  HPS,,,36.00,110.00,11.00,11.79,MOYAR  HPS,,,36.00,110.00,10.00,11.30,MOYAR  HPS,,,36.00,110.00,10.00,10.18,432.00,1320.00,85.00,157.42
PAPANASAM HPS,,,32.00,100.00,8.00,19.69,PAPANASAM HPS,,,32.00,100.00,8.00,12.85,PAPANASAM HPS,,,32.00,100.00,0.00,7.09,PAPANASAM HPS,,,32.00,118.00,3.00,2.45,PAPANASAM HPS,,,32.00,118.00,5.00,4.63,PAPANASAM HPS,,,32.00,118.00,10.00,19.07,PAPANASAM HPS,,,32.00,118.00,12.00,20.79,PAPANASAM HPS,,,32.00,118.00,12.00,18.85,PAPANASAM HPS,,,32.00,118.00,13.00,13.39,PAPANASAM HPS,,,32.00,118.00,13.00,12.87,PAPANASAM HPS,,,32.00,118.00,15.00,19.85,PAPANASAM HPS,,,32.00,118.00,13.00,15.12,384.00,1362.00,93.00,217.57
PARSON`S VALLEY HPS,,,30.00,30.00,2.00,3.90,PARSON`S VALLEY HPS,,,30.00,30.00,2.00,3.28,PARSON`S VALLEY HPS,,,30.00,30.00,1.00,4.13,PARSON`S VALLEY HPS,,,30.00,50.00,2.00,3.70,PARSON`S VALLEY HPS,,,30.00,50.00,3.00,0.00,PARSON`S VALLEY HPS,,,30.00,50.00,2.00,0.00,PARSON`S VALLEY HPS,,,30.00,50.00,3.00,4.47,PARSON`S VALLEY HPS,,,30.00,50.00,6.00,4.84,PARSON`S VALLEY HPS,,,30.00,50.00,6.00,3.91,PARSON`S VALLEY HPS,,,30.00,50.00,6.00,6.58,PARSON`S VALLEY HPS,,,30.00,50.00,6.00,3.92,PARSON`S VALLEY HPS,,,30.00,50.00,4.00,4.98,360.00,540.00,36.00,64.70
PERIYAR HPS,,,161.00,410.00,36.00,39.94,PERIYAR HPS,,,161.00,410.00,29.00,31.79,PERIYAR HPS,,,161.00,410.00,4.00,20.35,PERIYAR HPS,,,161.00,490.00,0.00,6.76,PERIYAR HPS,,,161.00,490.00,0.00,30.63,PERIYAR HPS,,,161.00,490.00,35.00,87.73,PERIYAR HPS,,,161.00,490.00,55.00,94.90,PERIYAR HPS,,,161.00,490.00,65.00,79.12,PERIYAR HPS,,,161.00,490.00,65.00,84.86,PERIYAR HPS,,,161.00,490.00,60.00,98.41,PERIYAR HPS,,,161.00,490.00,55.00,103.33,PERIYAR HPS,,,161.00,490.00,55.00,71.06,1932.00,5640.00,390.00,1040.04
PYKARA HPS,,,59.20,35.00,3.00,0.00,PYKARA HPS,,,59.20,35.00,3.00,0.00,PYKARA HPS,,,59.20,35.00,3.00,0.00,PYKARA HPS,,,59.20,38.00,2.00,0.00,PYKARA HPS,,,59.20,38.00,2.00,0.00,PYKARA HPS,,,59.20,38.00,5.00,0.00,PYKARA HPS,,,59.20,38.00,5.00,0.02,PYKARA HPS,,,59.20,38.00,5.00,0.00,PYKARA HPS,,,59.20,38.00,5.00,0.05,PYKARA HPS,,,59.20,38.00,5.00,0.00,PYKARA HPS,,,59.20,38.00,5.00,0.00,PYKARA HPS,,,59.20,38.00,1.00,0.00,710.40,447.00,33.00,33.07
PYKARA ULTMATE HPS,,,150.00,305.00,23.00,33.39,PYKARA ULTMATE HPS,,,150.00,305.00,17.00,27.03,PYKARA ULTMATE HPS,,,150.00,305.00,22.00,23.58,PYKARA ULTMATE HPS,,,150.00,319.00,25.00,16.56,PYKARA ULTMATE HPS,,,150.00,319.00,28.00,2.29,PYKARA ULTMATE HPS,,,150.00,319.00,29.00,20.05,PYKARA ULTMATE HPS,,,150.00,319.00,27.00,26.45,PYKARA ULTMATE HPS,,,150.00,319.00,28.00,34.67,PYKARA ULTMATE HPS,,,150.00,319.00,30.00,34.13,PYKARA ULTMATE HPS,,,150.00,319.00,29.00,39.79,PYKARA ULTMATE HPS,,,150.00,319.00,25.00,34.13,PYKARA ULTMATE HPS,,,150.00,319.00,28.00,30.59,1800.00,3786.00,224.00,446.10
SARKARPATHY HPS,,,30.00,117.00,12.00,12.09,SARKARPATHY HPS,,,30.00,117.00,12.00,13.50,SARKARPATHY HPS,,,30.00,117.00,10.00,13.91,SARKARPATHY HPS,,,30.00,121.00,0.00,15.36,SARKARPATHY HPS,,,30.00,121.00,0.00,13.64,SARKARPATHY HPS,,,30.00,121.00,0.00,0.00,SARKARPATHY HPS,,,30.00,121.00,11.00,0.56,SARKARPATHY HPS,,,30.00,121.00,16.00,15.49,SARKARPATHY HPS,,,30.00,121.00,16.00,16.49,SARKARPATHY HPS,,,30.00,121.00,15.00,14.46,SARKARPATHY HPS,,,30.00,121.00,14.00,12.09,SARKARPATHY HPS,,,30.00,121.00,14.00,8.66,360.00,1440.00,86.00,167.39
SHOLAYAR HPS (TN),,,70.00,175.00,11.00,10.29,SHOLAYAR HPS (TN),,,70.00,175.00,9.00,17.83,SHOLAYAR HPS (TN),,,70.00,175.00,2.00,0.00,SHOLAYAR HPS (TN),,,70.00,254.00,0.00,0.00,SHOLAYAR HPS (TN),,,70.00,254.00,0.00,0.00,SHOLAYAR HPS (TN),,,70.00,254.00,18.00,18.44,SHOLAYAR HPS (TN),,,70.00,254.00,26.00,39.79,SHOLAYAR HPS (TN),,,70.00,254.00,26.00,42.37,SHOLAYAR HPS (TN),,,70.00,254.00,26.00,46.22,SHOLAYAR HPS (TN),,,70.00,254.00,27.00,52.88,SHOLAYAR HPS (TN),,,70.00,254.00,28.00,45.23,SHOLAYAR HPS (TN),,,70.00,254.00,23.00,27.29,840.00,2811.00,174.00,446.22
SURULIYAR HPS,,,35.00,85.00,10.00,21.26,SURULIYAR HPS,,,35.00,85.00,5.00,14.61,SURULIYAR HPS,,,35.00,85.00,4.00,4.97,SURULIYAR HPS,,,35.00,100.00,1.00,6.82,SURULIYAR HPS,,,35.00,100.00,0.00,6.85,SURULIYAR HPS,,,35.00,100.00,5.00,4.01,SURULIYAR HPS,,,35.00,100.00,8.00,0.77,SURULIYAR HPS,,,35.00,100.00,9.00,12.76,SURULIYAR HPS,,,35.00,100.00,10.00,2.03,SURULIYAR HPS,,,35.00,100.00,14.00,0.00,SURULIYAR HPS,,,35.00,100.00,14.00,0.00,SURULIYAR HPS,,,35.00,100.00,15.00,0.00,420.00,1155.00,75.00,101.42
TANGEDCO,HYDRO,,2178.20,4040.00,326.00,374.59,TANGEDCO,HYDRO,,2178.20,4040.00,249.00,312.75,TANGEDCO,HYDRO,,2178.20,4040.00,182.00,280.81,TANGEDCO,HYDRO,,2178.20,4483.00,205.00,223.32,TANGEDCO,HYDRO,,2178.20,4483.00,202.00,199.12,TANGEDCO,HYDRO,,2178.20,4483.00,276.00,430.84,TANGEDCO,HYDRO,,2178.20,4483.00,352.00,524.03,TANGEDCO,HYDRO,,2178.20,4483.00,483.00,579.35,TANGEDCO,HYDRO,,2178.20,4483.00,605.00,501.16,TANGEDCO,HYDRO,,2178.20,4483.00,554.00,476.37,TANGEDCO,HYDRO,,2178.20,4483.00,411.00,551.86,TANGEDCO,HYDRO,,2178.20,4483.00,494.00,541.47,26138.40,52467.00,3377.00,7181.20
STATE SECTOR,HYDRO,,2178.20,4040.00,326.00,374.59,STATE SECTOR,HYDRO,,2178.20,4040.00,249.00,312.75,STATE SECTOR,HYDRO,,2178.20,4040.00,182.00,280.81,STATE SECTOR,HYDRO,,2178.20,4483.00,205.00,223.32,STATE SECTOR,HYDRO,,2178.20,4483.00,202.00,199.12,STATE SECTOR,HYDRO,,2178.20,4483.00,276.00,430.84,STATE SECTOR,HYDRO,,2178.20,4483.00,352.00,524.03,STATE SECTOR,HYDRO,,2178.20,4483.00,483.00,579.35,STATE SECTOR,HYDRO,,2178.20,4483.00,605.00,501.16,STATE SECTOR,HYDRO,,2178.20,4483.00,554.00,476.37,STATE SECTOR,HYDRO,,2178.20,4483.00,411.00,551.86,STATE SECTOR,HYDRO,,2178.20,4483.00,494.00,541.47,26138.40,52467.00,3377.00,7181.20
PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,0.00,0.00,0.00,0.00
MUTHIARA TPP,,,1200.00,4000.00,78.00,273.35,MUTHIARA TPP,,,1200.00,4000.00,407.00,219.22,MUTHIARA TPP,,,1200.00,4000.00,380.00,157.59,MUTHIARA TPP,,,1200.00,4000.00,328.00,253.55,MUTHIARA TPP,,,1200.00,4000.00,340.00,109.40,MUTHIARA TPP,,,1200.00,4000.00,328.00,125.86,MUTHIARA TPP,,,1200.00,4000.00,340.00,78.33,MUTHIARA TPP,,,1200.00,4000.00,340.00,195.02,MUTHIARA TPP,,,1200.00,4000.00,328.00,115.75,MUTHIARA TPP,,,1200.00,4000.00,340.00,87.27,MUTHIARA TPP,,,1200.00,4000.00,328.00,29.46,MUTHIARA TPP,,,1200.00,4000.00,340.00,137.05,14400.00,48000.00,2684.00,3562.14
CEPL,COAL,,1200.00,4000.00,78.00,273.35,CEPL,COAL,,1200.00,4000.00,407.00,219.22,CEPL,COAL,,1200.00,4000.00,380.00,157.59,CEPL,COAL,,1200.00,4000.00,328.00,253.55,CEPL,COAL,,1200.00,4000.00,340.00,109.40,CEPL,COAL,,1200.00,4000.00,328.00,125.86,CEPL,COAL,,1200.00,4000.00,340.00,78.33,CEPL,COAL,,1200.00,4000.00,340.00,195.02,CEPL,COAL,,1200.00,4000.00,328.00,115.75,CEPL,COAL,,1200.00,4000.00,340.00,87.27,CEPL,COAL,,1200.00,4000.00,328.00,29.46,CEPL,COAL,,1200.00,4000.00,340.00,137.05,14400.00,48000.00,2684.00,3562.14
TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,3600.00,0.00,0.00,0.00
IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,3600.00,0.00,0.00,0.00
ITPCL TPP,,,1200.00,6500.00,601.00,401.46,ITPCL TPP,,,1200.00,6500.00,609.00,259.05,ITPCL TPP,,,1200.00,6500.00,606.00,526.26,ITPCL TPP,,,1200.00,6500.00,605.00,695.06,ITPCL TPP,,,1200.00,6500.00,625.00,428.16,ITPCL TPP,,,1200.00,6500.00,300.00,353.88,ITPCL TPP,,,1200.00,6500.00,371.00,296.54,ITPCL TPP,,,1200.00,6500.00,325.00,275.68,ITPCL TPP,,,1200.00,6500.00,605.00,225.42,ITPCL TPP,,,1200.00,6500.00,625.00,137.16,ITPCL TPP,,,1200.00,6500.00,605.00,0.00,ITPCL TPP,,,1200.00,6500.00,625.00,284.51,14400.00,78000.00,4081.00,6082.35
ITPCL,COAL,,1200.00,6500.00,601.00,401.46,ITPCL,COAL,,1200.00,6500.00,609.00,259.05,ITPCL,COAL,,1200.00,6500.00,606.00,526.26,ITPCL,COAL,,1200.00,6500.00,605.00,695.06,ITPCL,COAL,,1200.00,6500.00,625.00,428.16,ITPCL,COAL,,1200.00,6500.00,300.00,353.88,ITPCL,COAL,,1200.00,6500.00,371.00,296.54,ITPCL,COAL,,1200.00,6500.00,325.00,275.68,ITPCL,COAL,,1200.00,6500.00,605.00,225.42,ITPCL,COAL,,1200.00,6500.00,625.00,137.16,ITPCL,COAL,,1200.00,6500.00,605.00,0.00,ITPCL,COAL,,1200.00,6500.00,625.00,284.51,14400.00,78000.00,4081.00,6082.35
SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,1272.01,0.00,0.00,0.00
MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,1272.01,0.00,0.00,0.00
SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,1268.40,0.00,0.00,0.00
SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,1268.40,0.00,0.00,0.00
TUTICORIN TPP ST-IV,,,0.00,0.00,0.00,0.00,TUTICORIN TPP ST-IV,,,0.00,0.00,0.00,0.00,TUTICORIN TPP ST-IV,,,0.00,0.00,0.00,0.00,TUTICORIN TPP ST-IV,,,0.00,1490.00,122.00,0.00,TUTICORIN TPP ST-IV,,,0.00,1490.00,127.00,0.00,TUTICORIN TPP ST-IV,,,0.00,1490.00,122.00,0.00,TUTICORIN TPP ST-IV,,,0.00,1490.00,127.00,0.00,TUTICORIN TPP ST-IV,,,0.00,1490.00,127.00,0.00,TUTICORIN TPP ST-IV,,,0.00,1490.00,122.00,0.00,TUTICORIN TPP ST-IV,,,0.00,1490.00,127.00,0.00,TUTICORIN TPP ST-IV,,,525.00,1490.00,122.00,0.00,TUTICORIN TPP ST-IV,,,525.00,1490.00,127.00,0.00,1050.00,13410.00,1001.00,1001.00
SEPCPPL,COAL,,0.00,0.00,0.00,0.00,SEPCPPL,COAL,,0.00,0.00,0.00,0.00,SEPCPPL,COAL,,0.00,0.00,0.00,0.00,SEPCPPL,COAL,,0.00,1490.00,122.00,0.00,SEPCPPL,COAL,,0.00,1490.00,127.00,0.00,SEPCPPL,COAL,,0.00,1490.00,122.00,0.00,SEPCPPL,COAL,,0.00,1490.00,127.00,0.00,SEPCPPL,COAL,,0.00,1490.00,127.00,0.00,SEPCPPL,COAL,,0.00,1490.00,122.00,0.00,SEPCPPL,COAL,,0.00,1490.00,127.00,0.00,SEPCPPL,COAL,,525.00,1490.00,122.00,0.00,SEPCPPL,COAL,,525.00,1490.00,127.00,0.00,1050.00,13410.00,1001.00,1001.00
NEYVELI TPS(Z),,,250.00,1294.00,120.00,94.24,NEYVELI TPS(Z),,,250.00,1294.00,121.00,123.21,NEYVELI TPS(Z),,,250.00,1294.00,114.00,157.08,NEYVELI TPS(Z),,,250.00,1200.00,99.00,157.56,NEYVELI TPS(Z),,,250.00,1200.00,102.00,162.21,NEYVELI TPS(Z),,,250.00,1200.00,99.00,128.67,NEYVELI TPS(Z),,,250.00,1200.00,102.00,135.88,NEYVELI TPS(Z),,,250.00,1200.00,102.00,67.59,NEYVELI TPS(Z),,,250.00,1200.00,99.00,124.31,NEYVELI TPS(Z),,,250.00,1200.00,102.00,153.15,NEYVELI TPS(Z),,,250.00,1200.00,99.00,125.50,NEYVELI TPS(Z),,,250.00,1200.00,102.00,147.11,3000.00,14682.00,807.00,1851.42
ST-CMSECP,COAL,,250.00,1294.00,120.00,94.24,ST-CMSECP,COAL,,250.00,1294.00,121.00,123.21,ST-CMSECP,COAL,,250.00,1294.00,114.00,157.08,ST-CMSECP,COAL,,250.00,1200.00,99.00,157.56,ST-CMSECP,COAL,,250.00,1200.00,102.00,162.21,ST-CMSECP,COAL,,250.00,1200.00,99.00,128.67,ST-CMSECP,COAL,,250.00,1200.00,102.00,135.88,ST-CMSECP,COAL,,250.00,1200.00,102.00,67.59,ST-CMSECP,COAL,,250.00,1200.00,99.00,124.31,ST-CMSECP,COAL,,250.00,1200.00,102.00,153.15,ST-CMSECP,COAL,,250.00,1200.00,99.00,125.50,ST-CMSECP,COAL,,250.00,1200.00,102.00,147.11,3000.00,14682.00,807.00,1851.42
PVT SECTOR,THERMAL,,3161.70,11794.00,799.00,769.05,PVT SECTOR,THERMAL,,3161.70,11794.00,1137.00,601.48,PVT SECTOR,THERMAL,,3161.70,11794.00,1100.00,840.93,PVT SECTOR,THERMAL,,3161.70,13190.00,1154.00,1106.17,PVT SECTOR,THERMAL,,3161.70,13190.00,1194.00,699.77,PVT SECTOR,THERMAL,,3161.70,13190.00,849.00,608.41,PVT SECTOR,THERMAL,,3161.70,13190.00,940.00,510.75,PVT SECTOR,THERMAL,,3161.70,13190.00,894.00,538.29,PVT SECTOR,THERMAL,,3161.70,13190.00,1154.00,465.48,PVT SECTOR,THERMAL,,3161.70,13190.00,1194.00,377.58,PVT SECTOR,THERMAL,,3686.70,13190.00,1154.00,154.96,PVT SECTOR,THERMAL,,3686.70,13190.00,1194.00,568.67,38990.41,154092.00,8573.00,12496.91
KARUPPUR CCPP,,,119.80,550.00,49.00,27.71,KARUPPUR CCPP,,,119.80,550.00,44.00,43.31,KARUPPUR CCPP,,,119.80,550.00,47.00,17.72,KARUPPUR CCPP,,,119.80,550.00,44.00,6.74,KARUPPUR CCPP,,,119.80,550.00,46.00,25.79,KARUPPUR CCPP,,,119.80,550.00,44.00,34.18,KARUPPUR CCPP,,,119.80,550.00,46.00,31.71,KARUPPUR CCPP,,,119.80,550.00,48.00,24.56,KARUPPUR CCPP,,,119.80,550.00,46.00,23.87,KARUPPUR CCPP,,,119.80,550.00,48.00,24.64,KARUPPUR CCPP,,,119.80,550.00,45.00,2.91,KARUPPUR CCPP,,,119.80,550.00,47.00,1.71,1437.60,6600.00,370.00,539.37
ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,27.71,ABAN POWR,NATURAL GAS,,119.80,550.00,44.00,43.31,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,17.72,ABAN POWR,NATURAL GAS,,119.80,550.00,44.00,6.74,ABAN POWR,NATURAL GAS,,119.80,550.00,46.00,25.79,ABAN POWR,NATURAL GAS,,119.80,550.00,44.00,34.18,ABAN POWR,NATURAL GAS,,119.80,550.00,46.00,31.71,ABAN POWR,NATURAL GAS,,119.80,550.00,48.00,24.56,ABAN POWR,NATURAL GAS,,119.80,550.00,46.00,23.87,ABAN POWR,NATURAL GAS,,119.80,550.00,48.00,24.64,ABAN POWR,NATURAL GAS,,119.80,550.00,45.00,2.91,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,1.71,1437.60,6600.00,370.00,539.37
VALANTARVY CCPP,,,52.80,340.00,30.00,26.10,VALANTARVY CCPP,,,52.80,340.00,28.00,6.92,VALANTARVY CCPP,,,52.80,340.00,0.00,11.67,VALANTARVY CCPP,,,52.80,250.00,21.00,25.64,VALANTARVY CCPP,,,52.80,250.00,21.00,16.96,VALANTARVY CCPP,,,52.80,250.00,21.00,29.57,VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,VALANTARVY CCPP,,,52.80,250.00,21.00,0.00,633.60,3270.00,168.00,214.53
PENNA,NATURAL GAS,,52.80,340.00,30.00,26.10,PENNA,NATURAL GAS,,52.80,340.00,28.00,6.92,PENNA,NATURAL GAS,,52.80,340.00,0.00,11.67,PENNA,NATURAL GAS,,52.80,250.00,21.00,25.64,PENNA,NATURAL GAS,,52.80,250.00,21.00,16.96,PENNA,NATURAL GAS,,52.80,250.00,21.00,29.57,PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,PENNA,NATURAL GAS,,52.80,250.00,21.00,0.00,633.60,3270.00,168.00,214.53
P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,4.00,0.00,P.NALLUR CCPP,,,330.50,50.00,5.00,0.00,P.NALLUR CCPP,,,330.50,50.00,5.00,0.00,3966.00,450.00,34.00,34.00
PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,4.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,5.00,0.00,PPNPGCL,NATURAL GAS,,330.50,50.00,5.00,0.00,3966.00,450.00,34.00,34.00
