title_original,text_original,posted_on_original,date_of_power_shutdown
Power shutdown areas in Chennai Today (05.09.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Saturday (05.09.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 04/Sep/2020 8:22:12 AM,09-05-2020
Power shutdown areas in Chennai Today (03.09.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Thursday (03.09.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 03/Sep/2020 9:04:33 AM,09-03-2020
Power shutdown areas in Chennai Today (28.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Friday (28.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 28/Aug/2020 10:13:36 AM,08-28-2020
Power shutdown areas in Chennai Today (27.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Thursday (27.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 26/Aug/2020 8:18:34 AM,08-27-2020
Power shutdown areas in Chennai Today (26.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Wednesday (26.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 25/Aug/2020 12:24:34 PM,08-26-2020
Power shutdown areas in Chennai Today (24.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Monday (24.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 24/Aug/2020 1:55:00 PM,08-24-2020
Power shutdown areas in Chennai Today (21.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Friday (21.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 20/Aug/2020 9:45:14 AM,08-21-2020
Power shutdown areas in Chennai Today (20.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Thursday (20.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 20/Aug/2020 9:36:29 AM,08-20-2020
Power shutdown areas in Chennai Today (18.08.2020)," The power supply would be suspended in parts of Chennai between 9 am and 2 pm on Tuesday. The supply will be resumed before 2 pm if the works are completed, said a statement from Tangedco.",Posted On : 17/Aug/2020 8:47:04 PM,08-18-2020
Power shutdown areas in Chennai Tomorrow (13.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Thursday (13.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 12/Aug/2020 3:04:24 PM,08-13-2020
Power shutdown areas in Chennai Today (12.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Wednesday (12.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 11/Aug/2020 9:33:23 AM,08-12-2020
Power shutdown areas in Chennai Today (10.08.2020), Power supply would be suspended in parts of Chennai between 9 am and 2 pm on Monday (10.08.2020). The power supply will be resumed before 2 pm if the works are completed.,Posted On : 09/Aug/2020 12:55:45 PM,08-10-2020
Power shutdown areas in Chennai Tomorrow (07.08.2020), Power supply will be suspended in the following areas on Friday (07.08.2020) from 09:00 AM to 02:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 06/Aug/2020 10:31:58 AM,08-07-2020
Power Shutdown Areas in Chennai Tomorrow (05.08.2020), Power supply will be suspended in the following areas on Wednesday (05.08.2020) from 09:00 AM to 02:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 04/Aug/2020 9:51:25 AM,08-05-2020
Power Shutdown Areas in Chennai Tomorrow (04.08.2020), Power supply will be suspended in the following areas on Tuesday (04.08.2020) from 09:00 AM to 02:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 03/Aug/2020 5:24:29 PM,08-04-2020
Power shutdown areas in Chennai Today (03.08.2020), Power supply will be suspended in the following areas on Monday (03.08.2020) from 09:00 AM to 02:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 03/Aug/2020 9:18:55 AM,08-03-2020
Power shutdown areas in Chennai Today (31.07.2020)," Power supply will be suspended in the following areas on Friday (31.07.2020) from 09:00 AM to 02:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.
",Posted On : 31/Jul/2020 9:22:03 AM,07-31-2020
Power shutdown areas in Chennai Tomorrow (04.03.2020), Power supply will be suspended in the following areas on Wednesday (04.03.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 03/Mar/2020 10:25:34 AM,03-04-2020
Power shutdown areas in Chennai Tomorrow (29.02.2020), Power supply will be suspended in the following areas on Saturday (29.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 28/Feb/2020 10:49:54 AM,02-29-2020
Power shutdown areas in Chennai Tomorrow (28.02.2020), Power supply will be suspended in the following areas on Friday (28.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 27/Feb/2020 10:21:16 AM,02-28-2020
Power shutdown areas in Chennai Tomorrow (27.02.2020), Power supply will be suspended in the following areas on Thursday (27.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 26/Feb/2020 10:32:25 AM,02-27-2020
Power shutdown areas in Chennai Tomorrow (26.02.2020), Power supply will be suspended in the following areas on Wednesday (26.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 25/Feb/2020 9:56:42 AM,02-26-2020
Power shutdown areas in Chennai Tomorrow (25.02.2020), Power supply will be suspended in the following areas on Tuesday (25.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 24/Feb/2020 10:34:41 AM,02-25-2020
Power shutdown areas in Chennai Tomorrow (21.02.2020), Power supply will be suspended in the following areas on Friday (21.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 20/Feb/2020 5:33:53 PM,02-21-2020
Power shutdown areas in Chennai Tomorrow (20.02.2020), Power supply will be suspended in the following areas on Thursday (20.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 19/Feb/2020 10:18:08 AM,02-20-2020
Power shutdown areas in Chennai Tomorrow (19.02.2020), Power supply will be suspended in the following areas on Wednesday (19.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 18/Feb/2020 10:28:26 AM,02-19-2020
Power shutdown areas in Chennai Tomorrow (18.02.2020), Power supply will be suspended in the following areas on Tuesday (18.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 17/Feb/2020 11:02:11 AM,02-18-2020
Power shutdown areas in Chennai Tomorrow (17.02.2020), Power supply will be suspended in the following areas on Monday (17.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 16/Feb/2020 10:18:29 AM,02-17-2020
Power shutdown areas in Chennai Tomorrow (15.02.2020), Power supply will be suspended in the following areas on Saturday (15.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 14/Feb/2020 10:44:15 AM,02-15-2020
Power shutdown areas in Chennai Tomorrow (14.02.2020), Power supply will be suspended in the following areas on Friday (14.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 13/Feb/2020 10:29:22 AM,02-14-2020
Power shutdown areas in Chennai Tomorrow (13.02.2020), Power supply will be suspended in the following areas on Thursday (13.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 12/Feb/2020 10:47:56 AM,02-13-2020
Power shutdown areas in Chennai Tomorrow (12.02.2020), Power supply will be suspended in the following areas on Wednesday (12.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 11/Feb/2020 10:41:27 AM,02-12-2020
Power shutdown areas in Chennai Tomorrow (11.02.2020), Power supply will be suspended in the following areas on Tuesday (11.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 10/Feb/2020 10:49:24 AM,02-11-2020
Power shutdown areas in Chennai Tomorrow (10.02.2020), Power supply will be suspended in the following areas on Monday (10.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 09/Feb/2020 10:18:11 AM,02-10-2020
Power shutdown areas in Chennai Tomorrow (07.02.2020), Power supply will be suspended in the following areas on Friday (07.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 06/Feb/2020 10:40:08 AM,02-07-2020
Power shutdown areas in Chennai Tomorrow (06.02.2020), Power supply will be suspended in the following areas on Thursday (06.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 05/Feb/2020 10:17:07 AM,02-06-2020
Power shutdown areas in Chennai Tomorrow (05.02.2020), Power supply will be suspended in the following areas on Wednesday (05.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 04/Feb/2020 10:09:20 AM,02-05-2020
Power shutdown areas in Chennai Tomorrow (04.02.2020), Power supply will be suspended in the following areas on Tuesday (04.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 03/Feb/2020 10:26:28 AM,02-04-2020
Power shutdown areas in Chennai Today (03.02.2020), Power supply will be suspended in the following areas on Monday (03.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 03/Feb/2020 10:16:23 AM,02-03-2020
Power shutdown areas in Chennai Tomorrow (01.02.2020), Power supply will be suspended in the following areas on Saturday (01.02.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 31/Jan/2020 2:36:32 PM,02-01-2020
Power shutdown areas in Chennai Tomorrow (31.01.2020), Power supply will be suspended in the following areas on Friday (31.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 30/Jan/2020 10:32:36 AM,01-31-2020
Power shutdown areas in Chennai Tomorrow (30.01.2020), Power supply will be suspended in the following areas on Thursday (30.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 29/Jan/2020 10:02:40 AM,01-30-2020
Power shutdown areas in Chennai Tomorrow (29.01.2020), Power supply will be suspended in the following areas on Wednesday (29.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 28/Jan/2020 9:58:27 AM,01-29-2020
Power shutdown areas in Chennai Tomorrow (28.01.2020), Power supply will be suspended in the following areas on Tuesday (28.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 27/Jan/2020 11:06:51 AM,01-28-2020
Power shutdown areas in Chennai Today (27.01.2020), Power supply will be suspended in the following areas on Monday (27.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 27/Jan/2020 11:02:22 AM,01-27-2020
Power shutdown areas in Chennai Tomorrow (24.01.2020), Power supply will be suspended in the following areas on Friday (24.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 23/Jan/2020 10:23:33 AM,01-24-2020
Power shutdown areas in Chennai Tomorrow (23.01.2020), Power supply will be suspended in the following areas on Thursday (23.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 22/Jan/2020 10:33:56 AM,01-23-2020
Power Shutdown Areas in Chennai Tomorrow (22.01.2020), Power supply will be suspended in the following areas on Wednesday (22.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 21/Jan/2020 12:40:56 PM,01-22-2020
Power shutdown areas in Chennai Tomorrow (21.01.2020), Power supply will be suspended in the following areas on Tuesday (21.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 20/Jan/2020 10:19:39 AM,01-21-2020
Power shutdown areas in Chennai Tomorrow (10.01.2020), Power supply will be suspended in the following areas on Friday (10.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 09/Jan/2020 9:55:27 AM,01-10-2020
Power shutdown areas in Chennai Tomorrow (09.01.2020), Power supply will be suspended in the following areas on Thursday (09.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 08/Jan/2020 10:44:42 AM,01-09-2020
Power shutdown areas in Chennai Tomorrow (07.01.2020), Power supply will be suspended in the following areas on Tuesday (07.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 06/Jan/2020 9:47:51 AM,01-07-2020
Power shutdown areas in Chennai Tomorrow (04.01.2020), Power supply will be suspended in the following areas on Saturday (04.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 03/Jan/2020 10:39:03 AM,01-04-2020
Power Shutdown Areas in Chennai Tomorrow (03.01.2020), Power supply will be suspended in the following areas on Friday (03.01.2020) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 02/Jan/2020 5:18:31 PM,01-03-2020
Power shutdown in parts of Chennai on December 27 (today), Power supply will be suspended in the following areas on Tuesday (27.12.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 27/Dec/2019 11:08:20 AM,27
Power shutdown areas in Chennai Tomorrow (24.12.2019), Power supply will be suspended in the following areas on Tuesday (24.12.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 23/Dec/2019 10:16:27 AM,12-24-2019
Power shutdown areas in Chennai Tomorrow (21.12.2019), Power supply will be suspended in the following areas on Saturday (21.12.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 20/Dec/2019 10:42:47 AM,12-21-2019
Power shutdown areas in Chennai Tomorrow (07.12.2019), Power supply will be suspended in the following areas on Saturday (07.12.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 06/Dec/2019 10:13:38 AM,12-07-2019
Power shutdown areas in Chennai Tomorrow (05.12.2019), Power supply will be suspended in the following areas on Thursday (05.12.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 04/Dec/2019 9:46:19 AM,12-05-2019
Power shutdown areas in Chennai Tomorrow (30.11.2019), Power supply will be suspended in the following areas on Saturday (30.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 29/Nov/2019 9:48:09 AM,11-30-2019
Power shutdown areas in Chennai Tomorrow (28.11.2019), Power supply will be suspended in the following areas on Thursday (28.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 27/Nov/2019 10:41:09 AM,11-28-2019
Power shutdown areas in Chennai Tomorrow (27.11.2019), Power supply will be suspended in the following areas on Wednesday (27.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 26/Nov/2019 10:14:10 AM,11-27-2019
Power shutdown areas in Chennai Tomorrow (26.11.2019), Power supply will be suspended in the following areas on Tuesday (26.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 25/Nov/2019 9:40:52 AM,11-26-2019
Power shutdown areas in Chennai Tomorrow (22.11.2019), Power supply will be suspended in the following areas on Friday (22.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 21/Nov/2019 10:09:18 AM,11-22-2019
Power shutdown areas in Chennai Tomorrow (21.11.2019), Power supply will be suspended in the following areas on Thursday (21.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 20/Nov/2019 9:55:43 AM,11-21-2019
Power shutdown areas in Chennai Tomorrow (19.11.2019), Power supply will be suspended in the following areas on Tuesday (19.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 18/Nov/2019 9:40:23 AM,11-19-2019
Power shutdown areas in Chennai Tomorrow (16.11.2019), Power supply will be suspended in the following areas on Saturday (16.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 15/Nov/2019 10:27:40 AM,11-16-2019
Power shutdown areas in Chennai Tomorrow (15.11.2019), Power supply will be suspended in the following areas on Friday (15.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 14/Nov/2019 10:00:33 AM,11-15-2019
Power shutdown areas in Chennai Tomorrow (14.11.2019), Power supply will be suspended in the following areas on Thursday (14.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 13/Nov/2019 9:59:53 AM,11-14-2019
Power shutdown areas in Chennai Tomorrow (13.11.2019), Power supply will be suspended in the following areas on Wednesday (13.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 12/Nov/2019 9:55:44 AM,11-13-2019
Power shutdown areas in Chennai Tomorrow (09.11.2019), Power supply will be suspended in the following areas on Saturday (09.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 08/Nov/2019 9:43:08 AM,11-09-2019
Power shutdown areas in Chennai Tomorrow (08.11.2019), The power supply will be suspended in the following areas on Friday (08.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 07/Nov/2019 12:24:09 PM,11-08-2019
Power shutdown areas in Chennai Tomorrow (07.11.2019), Power supply will be suspended in the following areas on Thursday (07.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 06/Nov/2019 10:09:28 AM,11-07-2019
Power shutdown areas in Chennai Tomorrow (05.11.2019), Power supply will be suspended in the following areas on Tuesday (05.11.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 04/Nov/2019 9:44:26 AM,11-05-2019
Power shutdown areas in Chennai Tomorrow (31.10.2019), Power supply will be suspended in the following areas on Thursday (31.10.2019) from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 30/Oct/2019 10:47:50 AM,10-31-2019
Today Power Shutdown Areas in Chennai (29.10.2019), Power supply will be suspended in the following areas on 29-10-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 29/Oct/2019 11:38:01 AM,10-29-2019
Power shutdown areas in Chennai Tomorrow (23-10-2019), Power supply will be suspended in the following areas on Wednesday from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 22/Oct/2019 10:04:52 AM,10-23-2019
Power shutdown areas in Chennai Tomorrow (22-10-2019), The power supply will be suspended in the following areas on Tuesday from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 21/Oct/2019 10:32:50 AM,10-22-2019
Power shutdown areas in Chennai Tomorrow (19-10-2019), Power supply will be suspended in the following areas on Saturday from 09:00 AM to 05:00 PM for maintenance work. Supply will be resumed before 05:00 PM if the works are completed.,Posted On : 18/Oct/2019 10:03:32 AM,10-19-2019
Power shutdown areas in Chennai Tomorrow (18-10-2019), Power supply will be suspended in the following areas on Friday from 9 am to 5 pm for maintenance work. Supply will be resumed before 5 pm if the works are completed.,Posted On : 17/Oct/2019 9:58:10 AM,10-18-2019
Power shutdown areas in Chennai Tomorrow (17-10-2019), The power supply will be disrupted in some areas of Chennai from 9 am to 4 pm. Due to maintenance work in Chennai on 17.10.2019 (Thursday).,Posted On : 16/Oct/2019 10:02:22 AM,10-17-2019
Power shutdown areas in Chennai Tomorrow (16-10-2019), The power supply will be disrupted in some areas of Chennai from 9 am to 4 pm. Due to maintenance work in Chennai on 16.10.2019 (Wednesday).,Posted On : 15/Oct/2019 9:25:28 AM,10-16-2019
Power shutdown areas in Chennai Tomorrow (15-10-2019), The power supply will be disrupted in some areas of Chennai from 9 am to 4 pm. Due to maintenance work in Chennai on 15.10.2019 (Tuesday).,Posted On : 14/Oct/2019 11:28:06 AM,10-15-2019
Power shutdown areas in Chennai Tomorrow (11-10-2019), The power supply will be disrupted in some areas of Chennai from 9 am to 4 pm. Due to maintenance work in Chennai on 11.10.2019 (Friday).,Posted On : 10/Oct/2019 9:55:56 AM,10-11-2019
Power shutdown areas in Chennai Tomorrow (10-10-2019), The power supply will be disrupted in some areas of Chennai from 9 am to 4 pm. Due to maintenance work in Chennai on 10.10.2019 (Thursday).,Posted On : 09/Oct/2019 11:51:27 AM,10-10-2019
Power shutdown areas in Chennai Tomorrow (05-10-2019), The power supply will be disrupted in some areas of Chennai from 9 am to 4 pm. Due to maintenance work in Chennai on 05.10.2019 (Saturday).,Posted On : 04/Oct/2019 6:05:00 PM,10-05-2019
Power shutdown areas in Chennai Tomorrow (04-10-2019), Power supply will be suspended in the following areas on 04-10-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 03/Oct/2019 10:56:34 AM,10-04-2019
Power shutdown areas in Chennai Tomorrow (01-10-2019), Power supply will be suspended in the following areas on 01-10-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 30/Sep/2019 10:49:34 AM,10-01-2019
Power shutdown areas in Chennai Tomorrow (27-09-2019), Power supply will be suspended in the following areas on 27-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 26/Sep/2019 9:50:56 AM,09-27-2019
Power shutdown areas in Chennai Tomorrow (26-09-2019), Power supply will be suspended in the following areas on 26-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 25/Sep/2019 10:34:10 AM,09-26-2019
Power shutdown areas in Chennai Tomorrow (25-09-2019), Power supply will be suspended in the following areas on 25-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 24/Sep/2019 10:19:26 AM,09-25-2019
Power shutdown areas in Chennai Tomorrow (24-09-2019), Power supply will be suspended in the following areas on 24-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 23/Sep/2019 11:15:38 AM,09-24-2019
Power shutdown areas in Chennai Today (23-09-2019), Power supply will be suspended in the following areas on 23-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 23/Sep/2019 10:35:34 AM,09-23-2019
Power shutdown areas in Chennai Tomorrow (21-09-2019), Power supply will be suspended in the following areas on 21-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 20/Sep/2019 10:06:11 AM,09-21-2019
Power shutdown areas in Chennai Tomorrow (20-09-2019), Power supply will be suspended in the following areas on 20-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 19/Sep/2019 11:55:53 AM,09-20-2019
Power shutdown areas in Chennai Tomorrow (19-09-2019), Power supply will be suspended in the following areas on 19-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 18/Sep/2019 5:51:12 PM,09-19-2019
Power shutdown areas in Chennai Tomorrow (18-09-2019), Power supply will be suspended in the following areas on 18-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 17/Sep/2019 12:18:04 PM,09-18-2019
Power shutdown areas in Chennai Tomorrow (17-09-2019), Power supply will be suspended in the following areas on 17-09-2019 between 9.00 A.M. to 5.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 16/Sep/2019 10:57:11 AM,09-17-2019
Power shutdown areas in Chennai Today (13-09-2019), Power supply will be suspended in the following areas on 13-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 13/Sep/2019 12:19:49 PM,09-13-2019
Power shutdown areas in Chennai Tomorrow (12-09-2019), Power supply will be suspended in the following areas on 12-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 11/Sep/2019 11:47:04 AM,09-12-2019
Power shutdown areas in Chennai Tomorrow (11-09-2019), Power supply will be suspended in the following areas on 11-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 10/Sep/2019 10:15:51 AM,09-11-2019
Power shutdown areas in Chennai Tomorrow (07-09-2019), Power supply will be suspended in the following areas on 07-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 06/Sep/2019 10:38:25 AM,09-07-2019
Power shutdown areas in Chennai Tomorrow (06-09-2019), Power supply will be suspended in the following areas on 06-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 05/Sep/2019 10:36:59 AM,09-06-2019
Power shutdown areas in Chennai Tomorrow (05-09-2019), Power supply will be suspended in the following areas on 05-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 04/Sep/2019 10:29:16 AM,09-05-2019
Power shutdown areas in Chennai Tomorrow (04-09-2019), Power supply will be suspended in the following areas on 04-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 03/Sep/2019 10:01:16 AM,09-04-2019
Power shutdown areas in Chennai Tomorrow (03-09-2019), Power supply will be suspended in the following areas on 03-09-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 02/Sep/2019 10:10:53 AM,09-03-2019
Power shutdown areas in Chennai Tomorrow (31-08-2019), Power supply will be suspended in the following areas on 31-08-2019 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 5.00 P.M. if the works are completed.,Posted On : 30/Aug/2019 10:52:41 AM,08-31-2019
