JAN 2020,,,,,,,FEB 2020,,,,,,,MAR 2020,,,,,,,APR 2020,,,,,,,MAY 2020,,,,,,,JUN 2020,,,,,,,JUL 2020,,,,,,,AUG 2020,,,,,,,SEP 2020,,,,,,,OCT 2020,,,,,,,NOV 2020,,,,,,,DEC 2020,,,,,,,,,,,
"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,,"Total Monitored
Capacity
(MW)",Total Target,,
LOWER METTUR-IV HPS.,,,30.00,44.00,5.00,7.42,LOWER METTUR-IV HPS.,,,30.00,44.00,1.00,0.88,LOWER METTUR-IV HPS.,,,30.00,44.00,0.00,1.03,LOWER METTUR-IV HPS.,,,30.00,44.00,1.00,0.66,LOWER METTUR-IV HPS.,,,30.00,44.00,1.00,0.25,LOWER METTUR-IV HPS.,,,30.00,44.00,1.00,6.51,LOWER METTUR-IV HPS.,,,30.00,44.00,1.00,11.83,LOWER METTUR-IV HPS.,,,30.00,44.00,5.00,10.14,LOWER METTUR-IV HPS.,,,30.00,44.00,10.00,10.91,LOWER METTUR-IV HPS.,,,30.00,44.00,8.00,11.34,LOWER METTUR-IV HPS.,,,30.00,44.00,2.00,6.22,LOWER METTUR-IV HPS.,,,30.00,44.00,8.00,1.78,,360.00,528.00,43.00,68.97
METTUR DAM  HPS.,,,50.00,78.00,4.00,13.22,METTUR DAM  HPS.,,,50.00,78.00,1.00,7.06,METTUR DAM  HPS.,,,50.00,78.00,2.00,8.61,METTUR DAM  HPS.,,,50.00,110.00,5.00,8.83,METTUR DAM  HPS.,,,50.00,110.00,5.00,3.64,METTUR DAM  HPS.,,,50.00,110.00,3.00,11.88,METTUR DAM  HPS.,,,50.00,110.00,4.00,13.58,METTUR DAM  HPS.,,,50.00,110.00,12.00,14.59,METTUR DAM  HPS.,,,50.00,110.00,28.00,18.71,METTUR DAM  HPS.,,,50.00,110.00,17.00,13.06,METTUR DAM  HPS.,,,50.00,110.00,7.00,12.78,METTUR DAM  HPS.,,,50.00,110.00,12.00,7.82,,600.00,1224.00,100.00,133.78
METTUR TUNNEL  HPS.,,,200.00,262.00,16.00,40.20,METTUR TUNNEL  HPS.,,,200.00,262.00,2.00,0.00,METTUR TUNNEL  HPS.,,,200.00,262.00,0.00,0.00,METTUR TUNNEL  HPS.,,,200.00,290.00,5.00,0.00,METTUR TUNNEL  HPS.,,,200.00,290.00,0.00,0.00,METTUR TUNNEL  HPS.,,,200.00,290.00,0.00,34.50,METTUR TUNNEL  HPS.,,,200.00,290.00,0.00,58.53,METTUR TUNNEL  HPS.,,,200.00,290.00,38.00,66.79,METTUR TUNNEL  HPS.,,,200.00,290.00,106.00,69.00,METTUR TUNNEL  HPS.,,,200.00,290.00,63.00,73.36,METTUR TUNNEL  HPS.,,,200.00,290.00,5.00,33.07,METTUR TUNNEL  HPS.,,,200.00,290.00,49.00,1.91,,2400.00,3396.00,284.00,377.36
MOYAR  HPS,,,36.00,117.00,6.00,13.05,MOYAR  HPS,,,36.00,117.00,9.00,8.48,MOYAR  HPS,,,36.00,117.00,15.00,11.78,MOYAR  HPS,,,36.00,110.00,7.00,8.14,MOYAR  HPS,,,36.00,110.00,10.00,9.09,MOYAR  HPS,,,36.00,110.00,11.00,8.81,MOYAR  HPS,,,36.00,110.00,11.00,6.73,MOYAR  HPS,,,36.00,110.00,11.00,13.92,MOYAR  HPS,,,36.00,110.00,11.00,7.76,MOYAR  HPS,,,36.00,110.00,11.00,8.60,MOYAR  HPS,,,36.00,110.00,10.00,9.77,MOYAR  HPS,,,36.00,110.00,10.00,11.52,,432.00,1341.00,122.00,117.65
PAPANASAM  HPS.,,,32.00,105.00,8.00,16.23,PAPANASAM  HPS.,,,32.00,105.00,8.00,13.93,PAPANASAM  HPS.,,,32.00,105.00,0.00,8.33,PAPANASAM  HPS.,,,32.00,100.00,2.00,4.32,PAPANASAM  HPS.,,,32.00,100.00,4.00,5.01,PAPANASAM  HPS.,,,32.00,100.00,8.00,4.00,PAPANASAM  HPS.,,,32.00,100.00,11.00,5.78,PAPANASAM  HPS.,,,32.00,100.00,11.00,14.36,PAPANASAM  HPS.,,,32.00,100.00,11.00,17.18,PAPANASAM  HPS.,,,32.00,100.00,11.00,10.62,PAPANASAM  HPS.,,,32.00,100.00,14.00,16.94,PAPANASAM  HPS.,,,32.00,100.00,12.00,13.99,,384.00,1215.00,100.00,130.69
PARSON`S VALLEY  HPS.,,,30.00,34.00,2.00,1.02,PARSON`S VALLEY  HPS.,,,30.00,34.00,2.00,0.07,PARSON`S VALLEY  HPS.,,,30.00,34.00,5.00,0.44,PARSON`S VALLEY  HPS.,,,30.00,30.00,1.00,2.72,PARSON`S VALLEY  HPS.,,,30.00,30.00,2.00,8.34,PARSON`S VALLEY  HPS.,,,30.00,30.00,1.00,5.77,PARSON`S VALLEY  HPS.,,,30.00,30.00,2.00,0.00,PARSON`S VALLEY  HPS.,,,30.00,30.00,4.00,7.50,PARSON`S VALLEY  HPS.,,,30.00,30.00,4.00,5.96,PARSON`S VALLEY  HPS.,,,30.00,30.00,4.00,3.74,PARSON`S VALLEY  HPS.,,,30.00,30.00,4.00,2.94,PARSON`S VALLEY  HPS.,,,30.00,30.00,3.00,2.60,,360.00,372.00,34.00,41.10
PERIYAR  HPS.,,,161.00,400.00,34.00,44.27,PERIYAR  HPS.,,,161.00,400.00,24.00,8.29,PERIYAR  HPS.,,,161.00,400.00,4.00,0.00,PERIYAR  HPS.,,,161.00,410.00,0.00,0.00,PERIYAR  HPS.,,,161.00,410.00,0.00,0.00,PERIYAR  HPS.,,,161.00,410.00,21.00,0.00,PERIYAR  HPS.,,,161.00,410.00,55.00,0.00,PERIYAR  HPS.,,,161.00,410.00,55.00,96.79,PERIYAR  HPS.,,,161.00,410.00,55.00,91.76,PERIYAR  HPS.,,,161.00,410.00,55.00,99.98,PERIYAR  HPS.,,,161.00,410.00,55.00,88.90,PERIYAR  HPS.,,,161.00,410.00,45.00,78.52,,1932.00,4890.00,403.00,508.51
PYKARA  HPS.,,,59.20,40.00,3.00,0.29,PYKARA  HPS.,,,59.20,40.00,2.00,0.00,PYKARA  HPS.,,,59.20,40.00,4.00,0.00,PYKARA  HPS.,,,59.20,35.00,2.00,0.00,PYKARA  HPS.,,,59.20,35.00,3.00,0.00,PYKARA  HPS.,,,59.20,35.00,3.00,0.00,PYKARA  HPS.,,,59.20,35.00,3.00,0.00,PYKARA  HPS.,,,59.20,35.00,3.00,0.03,PYKARA  HPS.,,,59.20,35.00,3.00,0.00,PYKARA  HPS.,,,59.20,35.00,4.00,0.00,PYKARA  HPS.,,,59.20,35.00,3.00,0.00,PYKARA  HPS.,,,59.20,35.00,2.00,0.01,,710.40,435.00,35.00,0.33
PYKARA ULTMATE  HPS.,,,150.00,305.00,20.00,37.02,PYKARA ULTMATE  HPS.,,,150.00,305.00,27.00,24.31,PYKARA ULTMATE  HPS.,,,150.00,305.00,33.00,34.09,PYKARA ULTMATE  HPS.,,,150.00,305.00,24.00,23.99,PYKARA ULTMATE  HPS.,,,150.00,305.00,27.00,29.07,PYKARA ULTMATE  HPS.,,,150.00,305.00,29.00,25.58,PYKARA ULTMATE  HPS.,,,150.00,305.00,25.00,20.47,PYKARA ULTMATE  HPS.,,,150.00,305.00,28.00,45.36,PYKARA ULTMATE  HPS.,,,150.00,305.00,30.00,20.71,PYKARA ULTMATE  HPS.,,,150.00,305.00,29.00,27.06,PYKARA ULTMATE  HPS.,,,150.00,305.00,23.00,28.70,PYKARA ULTMATE  HPS.,,,150.00,305.00,28.00,33.00,,1800.00,3660.00,323.00,349.36
SARKARPATHY  HPS.,,,30.00,110.00,15.00,13.67,SARKARPATHY  HPS.,,,30.00,110.00,13.00,15.72,SARKARPATHY  HPS.,,,30.00,110.00,12.00,16.78,SARKARPATHY  HPS.,,,30.00,117.00,0.00,15.80,SARKARPATHY  HPS.,,,30.00,117.00,0.00,14.36,SARKARPATHY  HPS.,,,30.00,117.00,0.00,0.46,SARKARPATHY  HPS.,,,30.00,117.00,10.00,0.00,SARKARPATHY  HPS.,,,30.00,117.00,15.00,9.38,SARKARPATHY  HPS.,,,30.00,117.00,15.00,15.48,SARKARPATHY  HPS.,,,30.00,117.00,15.00,15.73,SARKARPATHY  HPS.,,,30.00,117.00,14.00,13.22,SARKARPATHY  HPS.,,,30.00,117.00,14.00,13.36,,360.00,1383.00,123.00,143.96
SHOLAYAR HPS (TN),,,70.00,105.00,0.00,54.10,SHOLAYAR HPS (TN),,,70.00,105.00,0.00,8.87,SHOLAYAR HPS (TN),,,70.00,105.00,0.00,0.00,SHOLAYAR HPS (TN),,,70.00,175.00,0.00,0.00,SHOLAYAR HPS (TN),,,70.00,175.00,0.00,0.00,SHOLAYAR HPS (TN),,,70.00,175.00,9.00,0.00,SHOLAYAR HPS (TN),,,70.00,175.00,26.00,46.35,SHOLAYAR HPS (TN),,,70.00,175.00,26.00,57.96,SHOLAYAR HPS (TN),,,70.00,175.00,26.00,32.00,SHOLAYAR HPS (TN),,,70.00,175.00,27.00,32.54,SHOLAYAR HPS (TN),,,70.00,175.00,28.00,43.83,SHOLAYAR HPS (TN),,,70.00,175.00,11.00,49.62,,840.00,1890.00,153.00,325.27
SURULIYAR  HPS.,,,35.00,85.00,10.00,16.01,SURULIYAR  HPS.,,,35.00,85.00,5.00,3.97,SURULIYAR  HPS.,,,35.00,85.00,4.00,2.74,SURULIYAR  HPS.,,,35.00,85.00,1.00,0.70,SURULIYAR  HPS.,,,35.00,85.00,0.00,0.00,SURULIYAR  HPS.,,,35.00,85.00,4.00,1.09,SURULIYAR  HPS.,,,35.00,85.00,6.00,1.61,SURULIYAR  HPS.,,,35.00,85.00,6.00,13.26,SURULIYAR  HPS.,,,35.00,85.00,8.00,13.20,SURULIYAR  HPS.,,,35.00,85.00,13.00,8.29,SURULIYAR  HPS.,,,35.00,85.00,13.00,12.73,SURULIYAR  HPS.,,,35.00,85.00,15.00,19.38,,420.00,1020.00,85.00,92.98
TANGEDCO,HYDRO,,2178.20,3890.00,320.00,513.08,TANGEDCO,HYDRO,,2178.20,3890.00,249.00,291.15,TANGEDCO,HYDRO,,2178.20,3890.00,257.00,295.28,TANGEDCO,HYDRO,,2178.20,4040.00,185.00,248.46,TANGEDCO,HYDRO,,2178.20,4040.00,185.00,276.84,TANGEDCO,HYDRO,,2178.20,4040.00,230.00,305.53,TANGEDCO,HYDRO,,2178.20,4040.00,326.00,444.80,TANGEDCO,HYDRO,,2178.20,4040.00,449.00,694.30,TANGEDCO,HYDRO,,2178.20,4040.00,562.00,604.21,TANGEDCO,HYDRO,,2178.20,4040.00,514.00,604.54,TANGEDCO,HYDRO,,2178.20,4040.00,391.00,559.61,TANGEDCO,HYDRO,,2178.20,4040.00,441.00,506.27,,26138.40,48030.00,4109.00,5344.07
STATE SECTOR,HYDRO,,2178.20,3890.00,320.00,513.08,STATE SECTOR,HYDRO,,2178.20,3890.00,249.00,291.15,STATE SECTOR,HYDRO,,2178.20,3890.00,257.00,295.28,STATE SECTOR,HYDRO,,2178.20,4040.00,185.00,248.46,STATE SECTOR,HYDRO,,2178.20,4040.00,185.00,276.84,STATE SECTOR,HYDRO,,2178.20,4040.00,230.00,305.53,STATE SECTOR,HYDRO,,2178.20,4040.00,326.00,444.80,STATE SECTOR,HYDRO,,2178.20,4040.00,449.00,694.30,STATE SECTOR,HYDRO,,2178.20,4040.00,562.00,604.21,STATE SECTOR,HYDRO,,2178.20,4040.00,514.00,604.54,STATE SECTOR,HYDRO,,2178.20,4040.00,391.00,559.61,STATE SECTOR,HYDRO,,2178.20,4040.00,441.00,506.27,,26138.40,48030.00,4109.00,5344.07
PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,PVT SECTOR,,,,,,,,0.00,0.00,0.00,0.00
MUTHIARA TPP,,,1200.00,4000.00,338.00,364.28,MUTHIARA TPP,,,1200.00,4000.00,316.00,320.74,MUTHIARA TPP,,,1200.00,4000.00,338.00,488.81,MUTHIARA TPP,,,1200.00,4000.00,433.00,217.15,MUTHIARA TPP,,,1200.00,4000.00,449.00,265.42,MUTHIARA TPP,,,1200.00,4000.00,429.00,40.24,MUTHIARA TPP,,,1200.00,4000.00,409.00,212.77,MUTHIARA TPP,,,1200.00,4000.00,197.00,141.98,MUTHIARA TPP,,,1200.00,4000.00,377.00,55.84,MUTHIARA TPP,,,1200.00,4000.00,363.00,198.69,MUTHIARA TPP,,,1200.00,4000.00,359.00,297.46,MUTHIARA TPP,,,1200.00,4000.00,119.00,217.39,,14400.00,48000.00,4127.00,2820.77
CEPL,COAL,,1200.00,4000.00,338.00,364.28,CEPL,COAL,,1200.00,4000.00,316.00,320.74,CEPL,COAL,,1200.00,4000.00,338.00,488.81,CEPL,COAL,,1200.00,4000.00,433.00,217.15,CEPL,COAL,,1200.00,4000.00,449.00,265.42,CEPL,COAL,,1200.00,4000.00,429.00,40.24,CEPL,COAL,,1200.00,4000.00,409.00,212.77,CEPL,COAL,,1200.00,4000.00,197.00,141.98,CEPL,COAL,,1200.00,4000.00,377.00,55.84,CEPL,COAL,,1200.00,4000.00,363.00,198.69,CEPL,COAL,,1200.00,4000.00,359.00,297.46,CEPL,COAL,,1200.00,4000.00,119.00,217.39,,14400.00,48000.00,4127.00,2820.77
TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,TUTICORIN (P) TPP,,,300.00,0.00,0.00,0.00,,3600.00,0.00,0.00,0.00
IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,IBPIL,COAL,,300.00,0.00,0.00,0.00,,3600.00,0.00,0.00,0.00
ITPCL TPP,,,1200.00,6000.00,555.00,686.94,ITPCL TPP,,,1200.00,6000.00,507.00,628.50,ITPCL TPP,,,1200.00,6000.00,532.00,721.50,ITPCL TPP,,,1200.00,6500.00,648.00,652.36,ITPCL TPP,,,1200.00,6500.00,671.00,749.23,ITPCL TPP,,,1200.00,6500.00,466.00,374.04,ITPCL TPP,,,1200.00,6500.00,382.00,366.07,ITPCL TPP,,,1200.00,6500.00,291.00,268.78,ITPCL TPP,,,1200.00,6500.00,564.00,285.74,ITPCL TPP,,,1200.00,6500.00,542.00,318.60,ITPCL TPP,,,1200.00,6500.00,538.00,298.76,ITPCL TPP,,,1200.00,6500.00,582.00,318.71,,14400.00,76500.00,6278.00,5669.23
ITPCL,COAL,,1200.00,6000.00,555.00,686.94,ITPCL,COAL,,1200.00,6000.00,507.00,628.50,ITPCL,COAL,,1200.00,6000.00,532.00,721.50,ITPCL,COAL,,1200.00,6500.00,648.00,652.36,ITPCL,COAL,,1200.00,6500.00,671.00,749.23,ITPCL,COAL,,1200.00,6500.00,466.00,374.04,ITPCL,COAL,,1200.00,6500.00,382.00,366.07,ITPCL,COAL,,1200.00,6500.00,291.00,268.78,ITPCL,COAL,,1200.00,6500.00,564.00,285.74,ITPCL,COAL,,1200.00,6500.00,542.00,318.60,ITPCL,COAL,,1200.00,6500.00,538.00,298.76,ITPCL,COAL,,1200.00,6500.00,582.00,318.71,,14400.00,76500.00,6278.00,5669.23
SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,SAMAYANALLUR DG,,,106.00,0.00,0.00,0.00,,1272.01,0.00,0.00,0.00
MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,MADURAI P,DIESEL,,106.00,0.00,0.00,0.00,,1272.01,0.00,0.00,0.00
SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,SAMALPATTI DG,,,105.70,0.00,0.00,0.00,,1268.40,0.00,0.00,0.00
SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,SAMALPATI,DIESEL,,105.70,0.00,0.00,0.00,,1268.40,0.00,0.00,0.00
NEYVELI TPS(Z),,,250.00,1330.00,123.00,133.32,NEYVELI TPS(Z),,,250.00,1330.00,116.00,134.38,NEYVELI TPS(Z),,,250.00,1330.00,124.00,128.31,NEYVELI TPS(Z),,,250.00,1294.00,129.00,126.41,NEYVELI TPS(Z),,,250.00,1294.00,134.00,88.50,NEYVELI TPS(Z),,,250.00,1294.00,129.00,62.71,NEYVELI TPS(Z),,,250.00,1294.00,8.00,63.56,NEYVELI TPS(Z),,,250.00,1294.00,94.00,105.36,NEYVELI TPS(Z),,,250.00,1294.00,113.00,40.41,NEYVELI TPS(Z),,,250.00,1294.00,108.00,0.00,NEYVELI TPS(Z),,,250.00,1294.00,108.00,0.00,NEYVELI TPS(Z),,,250.00,1294.00,116.00,24.64,,3000.00,15636.00,1302.00,907.60
ST-CMSECP,COAL,,250.00,1330.00,123.00,133.32,ST-CMSECP,COAL,,250.00,1330.00,116.00,134.38,ST-CMSECP,COAL,,250.00,1330.00,124.00,128.31,ST-CMSECP,COAL,,250.00,1294.00,129.00,126.41,ST-CMSECP,COAL,,250.00,1294.00,134.00,88.50,ST-CMSECP,COAL,,250.00,1294.00,129.00,62.71,ST-CMSECP,COAL,,250.00,1294.00,8.00,63.56,ST-CMSECP,COAL,,250.00,1294.00,94.00,105.36,ST-CMSECP,COAL,,250.00,1294.00,113.00,40.41,ST-CMSECP,COAL,,250.00,1294.00,108.00,0.00,ST-CMSECP,COAL,,250.00,1294.00,108.00,0.00,ST-CMSECP,COAL,,250.00,1294.00,116.00,24.64,,3000.00,15636.00,1302.00,907.60
B. BRIDGE D.G,,,0.00,0.00,0.00,0.00,B. BRIDGE D.G,,,0.00,0.00,0.00,0.00,B. BRIDGE D.G,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00
VASAVI,DIESEL,,0.00,0.00,0.00,0.00,VASAVI,DIESEL,,0.00,0.00,0.00,0.00,VASAVI,DIESEL,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00
PVT SECTOR,THERMAL,,3161.70,11330.00,1016.00,1184.54,PVT SECTOR,THERMAL,,3161.70,11330.00,939.00,1083.62,PVT SECTOR,THERMAL,,3161.70,11330.00,994.00,1338.62,PVT SECTOR,THERMAL,,3161.70,11794.00,1210.00,995.92,PVT SECTOR,THERMAL,,3161.70,11794.00,1254.00,1103.15,PVT SECTOR,THERMAL,,3161.70,11794.00,1024.00,476.99,PVT SECTOR,THERMAL,,3161.70,11794.00,799.00,642.40,PVT SECTOR,THERMAL,,3161.70,11794.00,582.00,516.12,PVT SECTOR,THERMAL,,3161.70,11794.00,1054.00,381.99,PVT SECTOR,THERMAL,,3161.70,11794.00,1013.00,517.29,PVT SECTOR,THERMAL,,3161.70,11794.00,1005.00,596.22,PVT SECTOR,THERMAL,,3161.70,11794.00,817.00,560.74,,37940.41,140136.00,11707.00,9397.60
KARUPPUR CCPP,,,119.80,550.00,45.00,51.04,KARUPPUR CCPP,,,119.80,550.00,43.00,38.35,KARUPPUR CCPP,,,119.80,550.00,46.00,66.32,KARUPPUR CCPP,,,119.80,550.00,47.00,57.51,KARUPPUR CCPP,,,119.80,550.00,49.00,44.21,KARUPPUR CCPP,,,119.80,550.00,24.00,39.79,KARUPPUR CCPP,,,119.80,550.00,49.00,40.20,KARUPPUR CCPP,,,119.80,550.00,49.00,0.00,KARUPPUR CCPP,,,119.80,550.00,47.00,0.00,KARUPPUR CCPP,,,119.80,550.00,49.00,0.00,KARUPPUR CCPP,,,119.80,550.00,47.00,0.00,KARUPPUR CCPP,,,119.80,550.00,49.00,0.00,,1437.60,6600.00,544.00,337.42
ABAN POWR,NATURAL GAS,,119.80,550.00,45.00,51.04,ABAN POWR,NATURAL GAS,,119.80,550.00,43.00,38.35,ABAN POWR,NATURAL GAS,,119.80,550.00,46.00,66.32,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,57.51,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,44.21,ABAN POWR,NATURAL GAS,,119.80,550.00,24.00,39.79,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,40.20,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,0.00,,1437.60,6600.00,544.00,337.42
VALANTARVY CCPP,,,52.80,340.00,29.00,25.56,VALANTARVY CCPP,,,52.80,340.00,28.00,26.61,VALANTARVY CCPP,,,52.80,340.00,29.00,27.42,VALANTARVY CCPP,,,52.80,340.00,31.00,30.81,VALANTARVY CCPP,,,52.80,340.00,32.00,30.63,VALANTARVY CCPP,,,52.80,340.00,31.00,20.82,VALANTARVY CCPP,,,52.80,340.00,32.00,0.00,VALANTARVY CCPP,,,52.80,340.00,32.00,0.00,VALANTARVY CCPP,,,52.80,340.00,31.00,5.32,VALANTARVY CCPP,,,52.80,340.00,32.00,19.55,VALANTARVY CCPP,,,52.80,340.00,31.00,30.00,VALANTARVY CCPP,,,52.80,340.00,30.00,31.05,,633.60,4080.00,368.00,247.77
PENNA,NATURAL GAS,,52.80,340.00,29.00,25.56,PENNA,NATURAL GAS,,52.80,340.00,28.00,26.61,PENNA,NATURAL GAS,,52.80,340.00,29.00,27.42,PENNA,NATURAL GAS,,52.80,340.00,31.00,30.81,PENNA,NATURAL GAS,,52.80,340.00,32.00,30.63,PENNA,NATURAL GAS,,52.80,340.00,31.00,20.82,PENNA,NATURAL GAS,,52.80,340.00,32.00,0.00,PENNA,NATURAL GAS,,52.80,340.00,32.00,0.00,PENNA,NATURAL GAS,,52.80,340.00,31.00,5.32,PENNA,NATURAL GAS,,52.80,340.00,32.00,19.55,PENNA,NATURAL GAS,,52.80,340.00,31.00,30.00,PENNA,NATURAL GAS,,52.80,340.00,30.00,31.05,,633.60,4080.00,368.00,247.77
P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,2.01,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,,3966.00,0.00,0.00,2.01
